head_dim,context_len,kv_bits,granularity,scale_format,payload_bytes_per_k_or_v_token,metadata_bytes_per_k_or_v_token,total_bytes_per_k_or_v_token,kv_pair_bytes_per_token,effective_bits_per_value,row_major_fp16_bytes,row_major_int8_bytes,equal_dim_bitsliced_int8_bytes,compression_vs_row_major_fp16,compression_vs_row_major_int8,compression_vs_equal_dim_bitsliced_int8,actual_existing_128d_bytes,compression_vs_actual_existing_128d,actual_existing_comparison_is_equal_dim
128,512,4,group8,Q8.8,64.0,32.0,96.0,192.0,6.0,256.0,128.0,256.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,256.0,2.6666666666666665,True
128,1024,4,run,Q8.8,64.0,0.001953125,64.001953125,128.00390625,4.0001220703125,256.0,128.0,256.0,3.9998779334126766,1.9999389667063383,3.9998779334126766,256.0,3.9998779334126766,True
128,1024,4,token64,Q8.8,64.0,2.0,66.0,132.0,4.125,256.0,128.0,256.0,3.878787878787879,1.9393939393939394,3.878787878787879,256.0,3.878787878787879,True
128,1024,4,group32,Q8.8,64.0,8.0,72.0,144.0,4.5,256.0,128.0,256.0,3.5555555555555554,1.7777777777777777,3.5555555555555554,256.0,3.5555555555555554,True
128,1024,4,group16,Q8.8,64.0,16.0,80.0,160.0,5.0,256.0,128.0,256.0,3.2,1.6,3.2,256.0,3.2,True
128,1024,4,group8,Q8.8,64.0,32.0,96.0,192.0,6.0,256.0,128.0,256.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,256.0,2.6666666666666665,True
128,2048,4,run,Q8.8,64.0,0.0009765625,64.0009765625,128.001953125,4.00006103515625,256.0,128.0,256.0,3.9999389657750584,1.9999694828875292,3.9999389657750584,256.0,3.9999389657750584,True
128,2048,4,token64,Q8.8,64.0,2.0,66.0,132.0,4.125,256.0,128.0,256.0,3.878787878787879,1.9393939393939394,3.878787878787879,256.0,3.878787878787879,True
128,2048,4,group32,Q8.8,64.0,8.0,72.0,144.0,4.5,256.0,128.0,256.0,3.5555555555555554,1.7777777777777777,3.5555555555555554,256.0,3.5555555555555554,True
128,2048,4,group16,Q8.8,64.0,16.0,80.0,160.0,5.0,256.0,128.0,256.0,3.2,1.6,3.2,256.0,3.2,True
128,2048,4,group8,Q8.8,64.0,32.0,96.0,192.0,6.0,256.0,128.0,256.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,256.0,2.6666666666666665,True
128,4096,4,run,Q8.8,64.0,0.00048828125,64.00048828125,128.0009765625,4.000030517578125,256.0,128.0,256.0,3.999969482654704,1.999984741327352,3.999969482654704,256.0,3.999969482654704,True
128,4096,4,token64,Q8.8,64.0,2.0,66.0,132.0,4.125,256.0,128.0,256.0,3.878787878787879,1.9393939393939394,3.878787878787879,256.0,3.878787878787879,True
128,4096,4,group32,Q8.8,64.0,8.0,72.0,144.0,4.5,256.0,128.0,256.0,3.5555555555555554,1.7777777777777777,3.5555555555555554,256.0,3.5555555555555554,True
128,4096,4,group16,Q8.8,64.0,16.0,80.0,160.0,5.0,256.0,128.0,256.0,3.2,1.6,3.2,256.0,3.2,True
128,4096,4,group8,Q8.8,64.0,32.0,96.0,192.0,6.0,256.0,128.0,256.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,256.0,2.6666666666666665,True
